四川电信,#genre#
CCTV1,http://vl15191373.imwork.net:8880/udp/239.93.0.184:5140
CCTV2,http://vl15191373.imwork.net:8880/udp/239.93.1.23:6000
CCTV3,http://vl15191373.imwork.net:8880/udp/239.93.1.11:2223
CCTV4,http://vl15191373.imwork.net:8880/udp/239.93.1.105:5140
CCTV5,http://vl15191373.imwork.net:8880/udp/239.93.42.37:5140
CCTV6,http://vl15191373.imwork.net:8880/udp/239.93.1.13:2226
CCTV7,http://vl15191373.imwork.net:8880/udp/239.93.1.67:5140
CCTV8,http://vl15191373.imwork.net:8880/udp/239.93.42.39:5140
CCTV9,http://vl15191373.imwork.net:8880/udp/239.93.1.24:5140
CCTV10,http://vl15191373.imwork.net:8880/udp/239.93.1.28:5140
CCTV11,http://vl15191373.imwork.net:8880/udp/239.93.0.102:5140
CCTV12,http://vl15191373.imwork.net:8880/udp/239.93.1.30:8124
CCTV13,http://vl15191373.imwork.net:8880/udp/239.93.0.66:5140
CCTV14,http://vl15191373.imwork.net:8880/udp/239.93.1.29:6000
CCTV15,http://vl15191373.imwork.net:8880/udp/239.93.0.103:5140
CCTV16-4K,http://vl15191373.imwork.net:8880/udp/239.93.42.54:5140
CCTV17,http://vl15191373.imwork.net:8880/udp/239.93.0.92:5140
CCTV5+,http://vl15191373.imwork.net:8880/udp/239.93.1.36:8004
CCTV4K,http://vl15191373.imwork.net:8880/udp/239.93.42.42:5140
CETV1,http://vl15191373.imwork.net:8880/udp/239.93.1.111:5140
CETV2,http://vl15191373.imwork.net:8880/udp/239.93.0.113:5140
CETV4,http://vl15191373.imwork.net:8880/udp/239.93.0.50:5140
CGTN,http://vl15191373.imwork.net:8880/udp/239.93.0.104:5140
CGTN西班牙语,http://vl15191373.imwork.net:8880/udp/239.93.42.49:5140
CGTN法语,http://vl15191373.imwork.net:8880/udp/239.93.42.50:5140
CCTV高尔夫网球,http://vl15191373.imwork.net:8880/udp/239.93.1.54:5140
CCTV风云剧场,http://vl15191373.imwork.net:8880/udp/239.93.1.156:5140
CCTV世界地理,http://vl15191373.imwork.net:8880/udp/239.93.1.157:5140
CCTV央视文化精品,http://vl15191373.imwork.net:8880/udp/239.93.42.47:5140
CCTV女性时尚,http://vl15191373.imwork.net:8880/udp/239.93.42.62:5140
CCTV第一剧场,http://vl15191373.imwork.net:8880/udp/239.93.1.197:5140
CCTV怀旧剧场,http://vl15191373.imwork.net:8880/udp/239.93.1.198:5140
CCTV兵器科技,http://vl15191373.imwork.net:8880/udp/239.93.1.235:5140
中国天气,http://vl15191373.imwork.net:8880/udp/239.93.42.66:5140
云南卫视,http://vl15191373.imwork.net:8880/udp/239.93.1.174:5140
安徽卫视,http://vl15191373.imwork.net:8880/udp/239.93.1.106:5140
北京卫视,http://vl15191373.imwork.net:8880/udp/239.93.0.180:5140
东方卫视,http://vl15191373.imwork.net:8880/udp/239.93.0.123:5140
甘肃卫视,http://vl15191373.imwork.net:8880/udp/239.93.0.81:5140
东南卫视,http://vl15191373.imwork.net:8880/udp/239.93.0.42:5140
广东卫视,http://vl15191373.imwork.net:8880/udp/239.93.0.181:5140
广西卫视,http://vl15191373.imwork.net:8880/udp/239.93.42.46:5140
贵州卫视,http://vl15191373.imwork.net:8880/udp/239.93.0.131:5140
河北卫视,http://vl15191373.imwork.net:8880/udp/239.93.0.132:5140
河南卫视,http://vl15191373.imwork.net:8880/udp/239.93.42.45:5140
黑龙江卫视,http://vl15191373.imwork.net:8880/udp/239.93.0.183:5140
湖北卫视,http://vl15191373.imwork.net:8880/udp/239.93.0.250:5140
湖南卫视,http://vl15191373.imwork.net:8880/udp/239.93.0.88:5140
吉林卫视,http://vl15191373.imwork.net:8880/udp/239.93.0.248:5140
江苏卫视,http://vl15191373.imwork.net:8880/udp/239.93.0.89:5140
江西卫视,http://vl15191373.imwork.net:8880/udp/239.93.0.134:5140
辽宁卫视,http://vl15191373.imwork.net:8880/udp/239.93.1.108:5140
